Date,Pi_bar_med,Pi_bar_p2_5,Pi_bar_p16,Pi_bar_p84,Pi_bar_p97_5,R_bar_med,R_bar_p2_5,R_bar_p16,R_bar_p84,R_bar_p97_5,Ts_bar_med,Ts_bar_p2_5,Ts_bar_p16,Ts_bar_p84,Ts_bar_p97_5
02-Jul-1987,4.88599445394161,4.69130981724811,4.78694680485616,4.98121139563774,5.07373572409234,2.07153174849741,1.2500240269433,1.66064532512696,2.43354666375322,2.80263036326212,2.14543719525326,1.61876036142888,1.8743157995352,2.41483587715794,2.67094095104373
02-Oct-1987,4.7731348038513,4.58051022117953,4.67905871586539,4.86593215426416,4.95135607999054,2.07419036942223,1.25531503593264,1.66657786261531,2.43305160617691,2.7918047784346,2.14918081733486,1.61774852174528,1.87547399674,2.41615341327484,2.66734615018788
02-Jan-1988,4.68782625191781,4.49974262013779,4.59602011002791,4.77602337863549,4.87033326424014,2.07017104432125,1.25199200374567,1.66283263551198,2.42166759094677,2.77211800416756,2.13711999663502,1.60568125676906,1.86269301943596,2.40868306328624,2.6570179646541
02-Apr-1988,4.57682767442364,4.39553632010585,4.48484541612621,4.66588606491997,4.75764147005706,2.07094769579877,1.25229709534281,1.66632764931537,2.42412722856304,2.77464502262394,2.14222956822481,1.60986750889548,1.86411732099835,2.40628477392787,2.65567039534367
02-Jul-1988,4.43192000195051,4.25238614999952,4.33816757376572,4.52010801448426,4.60822049067074,2.07381688930984,1.26150887485423,1.67248601808075,2.42454980729015,2.76557274813288,2.13790053088281,1.59571973603871,1.8600534721797,2.39508855512143,2.64429257522967
02-Oct-1988,4.25535452266626,4.07303395979544,4.16537980830296,4.34757479688724,4.43208411349773,2.07193585894007,1.26480303825926,1.67817591239468,2.41091876118067,2.75127849545305,2.12354427061988,1.5803923499308,1.84704722726667,2.38645860367644,2.64154885941954
02-Jan-1989,4.1834465444247,3.99627237051928,4.09024294944364,4.27499026501874,4.37042572254396,2.06688372540878,1.27890391809338,1.68165757851874,2.40906850237867,2.74089481503047,2.11943561820319,1.58783273868237,1.84474316890103,2.37846718145843,2.63217708029064
02-Apr-1989,4.09759509694257,3.90730144529914,4.00316391517255,4.19321030948024,4.28514842619782,2.06137245503527,1.27690952954561,1.67635055586259,2.39621014427476,2.73069669093574,2.11272940303827,1.57201977318769,1.83323413552073,2.36482850873259,2.60826655862872
02-Jul-1989,3.94009837486022,3.74443972902613,3.84440562525191,4.03410781133894,4.12680504444434,2.05211409086295,1.27191164762462,1.6692232943077,2.3827021802579,2.68895672930338,2.10265932568062,1.55547940520671,1.82039808793424,2.35419184426966,2.59090232228675
02-Oct-1989,3.79069902844397,3.59815905916326,3.69299120738474,3.88571721341498,3.97310528688888,2.04736277581647,1.27397615419971,1.66874205122653,2.3717048908592,2.68113963598076,2.09131521296862,1.54998694211869,1.81223881566791,2.34525495923754,2.58663962361741
02-Jan-1990,3.68642894253847,3.49312897269124,3.59186692682032,3.78484779858498,3.87474043983353,2.05315136439035,1.28389416643355,1.67896798054215,2.36980871322846,2.68665808479371,2.09905609570025,1.55877147103413,1.81543638830488,2.35071794015569,2.59161429373632
02-Apr-1990,3.71977288964553,3.52444189386982,3.62524538895336,3.8167498686249,3.90752268681942,2.06086555962458,1.28586713128452,1.68436886481393,2.37273395033659,2.68399514377827,2.11538805725711,1.56436833348848,1.83140912988421,2.36869619201325,2.60710486162956
02-Jul-1990,3.76932476053999,3.57425321736277,3.6756408511201,3.86628904490295,3.95759064991892,2.05930757275737,1.28383404222266,1.68687609628153,2.37363311660143,2.67661726944025,2.12686628798658,1.58202133212501,1.83704604169984,2.38042478615341,2.61231179012621
02-Oct-1990,3.74784194453817,3.55501173122863,3.65234329011085,3.8404685502669,3.93371712855917,2.05148924061695,1.28132943248113,1.68737033926357,2.36017322148621,2.66874096265678,2.12449880621891,1.57752173016825,1.8313000021621,2.38059229130424,2.60136349186829
02-Jan-1991,3.73837938568349,3.54152289408412,3.64156876932203,3.8328740424319,3.92447538230724,2.05069678440589,1.29447613930214,1.68354579697822,2.35536938520032,2.65076141532006,2.1292645774948,1.5837557916122,1.84157067141065,2.38156340511663,2.6168658383916
